user_id,kac,count_initial_scan_subscriptions,days,rollup_count,unsubscribe_count,inbox_count,fresh_count,unknown_count,domains_gmail,domains_others,signup_origin_Web App,signup_origin_iPhone,Mean_Pred_days,Med_Pred_days
168897,0,1447,1091,0.0,653.0,212.0,476.0,106.0,1.0,0.0,1.0,0.0,797.129867063,797.129867063
479067,0,636,1014,0.0,579.0,5.0,52.0,0.0,1.0,0.0,1.0,0.0,441.39558994,441.39558994
3492658,0,28,317,0.0,24.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,223.477766141,223.477766141
2700871,0,385,471,255.0,115.0,6.0,9.0,0.0,1.0,0.0,1.0,0.0,325.391512458,325.391512458
3637347,0,603,359,104.0,368.0,68.0,63.0,0.0,1.0,0.0,0.0,1.0,357.25030591,357.25030591
4880516,0,184,132,5.0,89.0,48.0,42.0,0.0,1.0,0.0,1.0,0.0,228.14758125,228.14758125
4632082,0,181,165,26.0,87.0,37.0,31.0,0.0,1.0,0.0,1.0,0.0,231.875983084,231.875983084
3371842,0,168,234,86.0,60.0,16.0,6.0,0.0,1.0,0.0,1.0,0.0,238.338944274,238.338944274
273683,0,629,937,13.0,539.0,10.0,67.0,0.0,1.0,0.0,0.0,1.0,376.76439045,376.76439045
4652633,0,740,160,0.0,201.0,341.0,198.0,0.0,1.0,0.0,0.0,1.0,314.256089316,314.256089316
4113684,0,542,324,0.0,393.0,142.0,7.0,0.0,1.0,0.0,0.0,1.0,336.532540624,336.532540624
4517088,0,158,136,15.0,69.0,34.0,40.0,0.0,1.0,0.0,0.0,1.0,240.78183781,240.78183781
4533862,0,621,61,167.0,386.0,52.0,16.0,0.0,1.0,0.0,0.0,1.0,381.787614289,381.787614289
2647519,0,1777,497,0.0,30.0,573.0,1174.0,0.0,1.0,0.0,1.0,0.0,376.957950173,376.957950173
5326168,0,139,9,0.0,7.0,89.0,43.0,0.0,1.0,0.0,1.0,0.0,209.649474881,209.649474881
2448600,0,515,559,88.0,396.0,28.0,3.0,0.0,1.0,0.0,1.0,0.0,382.591902254,382.591902254
4671484,0,615,133,370.0,150.0,93.0,2.0,0.0,1.0,0.0,0.0,1.0,379.965515939,379.965515939
688341,0,372,913,118.0,205.0,48.0,1.0,0.0,1.0,0.0,1.0,0.0,306.432667649,306.432667649
159423,0,700,1076,100.0,444.0,10.0,146.0,0.0,1.0,0.0,1.0,0.0,436.033121001,436.033121001
1025753,0,617,730,0.0,544.0,0.0,73.0,0.0,1.0,0.0,1.0,0.0,419.333126863,419.333126863
4863249,0,335,127,0.0,92.0,119.0,124.0,0.0,1.0,0.0,0.0,1.0,254.410503298,254.410503298
3631548,0,201,218,19.0,37.0,5.0,140.0,0.0,1.0,0.0,0.0,1.0,236.066181302,236.066181302
3501267,0,192,263,0.0,28.0,10.0,154.0,0.0,1.0,0.0,1.0,0.0,212.467709545,212.467709545
2782992,0,96,468,39.0,19.0,6.0,32.0,0.0,1.0,0.0,1.0,0.0,213.945562632,213.945562632
4396231,0,234,106,81.0,110.0,40.0,3.0,0.0,1.0,0.0,1.0,0.0,255.116585034,255.116585034
2777062,0,313,465,0.0,167.0,30.0,116.0,0.0,0.0,1.0,1.0,0.0,261.128540829,261.128540829
3139395,0,177,349,15.0,79.0,81.0,2.0,0.0,1.0,0.0,0.0,1.0,245.864785517,245.864785517
3013709,0,531,406,81.0,81.0,0.0,369.0,0.0,1.0,0.0,1.0,0.0,265.079989688,265.079989688
3649299,0,161,248,19.0,48.0,53.0,41.0,0.0,1.0,0.0,0.0,1.0,238.76075048,238.76075048
